"tournament_name","total_goals"
"2022 FIFA World Cup",172
"2014 FIFA World Cup",171
"1998 FIFA World Cup",171
"2018 FIFA World Cup",169
"2002 FIFA World Cup",161
"2006 FIFA World Cup",147
"1982 FIFA World Cup",146
"2010 FIFA World Cup",145
"1994 FIFA World Cup",141
"1954 FIFA World Cup",140
"1986 FIFA World Cup",132
"1958 FIFA World Cup",126
"1990 FIFA World Cup",115
"1978 FIFA World Cup",102
"1974 FIFA World Cup",97
"1970 FIFA World Cup",95
"1966 FIFA World Cup",89
"1962 FIFA World Cup",89
"1950 FIFA World Cup",88
"1938 FIFA World Cup",84
"1934 FIFA World Cup",70
"1930 FIFA World Cup",70
